"filename", "language", "JSON", "TypeScript", "JavaScript", "source.markdown.math", "Shell Script", "Docker", "JSON with Comments", "YAML", "Properties", "XML", "TypeScript JSX", "PostCSS", "pgsql", "Prisma", "PowerShell", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.github/instructions/typescript-mcp-server.instructions.md", "source.markdown.math", 0, 0, 0, -211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, -247
"/workspaces/dev-x-academy-web/.github/prompts/csharp-async.prompt.md", "source.markdown.math", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -57
"/workspaces/dev-x-academy-web/.github/prompts/csharp-docs.prompt.md", "source.markdown.math", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -33
"/workspaces/dev-x-academy-web/.github/prompts/csharp-mcp-server-generator.prompt.md", "source.markdown.math", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -66
"/workspaces/dev-x-academy-web/.github/prompts/csharp-xunit.prompt (2).md", "source.markdown.math", 0, 0, 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -76
"/workspaces/dev-x-academy-web/.github/prompts/csharp-xunit.prompt.md", "source.markdown.math", 0, 0, 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -76
"/workspaces/dev-x-academy-web/.github/prompts/dotnet-best-practices.prompt.md", "source.markdown.math", 0, 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -91
"/workspaces/dev-x-academy-web/.github/prompts/dotnet-design-pattern-review.prompt.md", "source.markdown.math", 0, 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -48
"/workspaces/dev-x-academy-web/.github/prompts/editorconfig.prompt.md", "source.markdown.math", 0, 0, 0, -51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -70
"/workspaces/dev-x-academy-web/.github/prompts/ef-core.prompt.md", "source.markdown.math", 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -83
"/workspaces/dev-x-academy-web/.github/prompts/multi-stage-dockerfile.prompt.md", "source.markdown.math", 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -54
