"filename", "language", "JavaScript", "JSON", "TypeScript", "Dotenv", "source.markdown.math", "TypeScript JSX", "JSON with Comments", "PostCSS", "HTML", "Shell Script", "XML", "pgsql", "Home Assistant", "Docker", "Properties", "comment", "blank", "total"
"c:\Projects\websites\dev-x-academy-web\src\components\ui\__tests__\button.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Projects\websites\dev-x-academy-web\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Projects\websites\dev-x-academy-web\src\components\ui\language-selector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 106
"c:\Projects\websites\dev-x-academy-web\src\globals.d.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Projects\websites\dev-x-academy-web\src\lib\__tests__\api.test.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 79
"c:\Projects\websites\dev-x-academy-web\src\lib\__tests__\utils.test.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Projects\websites\dev-x-academy-web\src\lib\prisma.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Projects\websites\dev-x-academy-web\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Projects\websites\dev-x-academy-web\test-results\failing-video-deliberate-failure-for-video-test-chromium\error-context.md", "source.markdown.math", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 255
"c:\Projects\websites\dev-x-academy-web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Projects\websites\dev-x-academy-web\vitest.config.mjs", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Projects\websites\dev-x-academy-web\vitest.setup.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 61
"Total", "-", 56, 5710, 2326, 30, 8204, 2450, 924, 42, 82, 135, 14, 175, 83, 76, 35, 465, 3802, 24609
