"filename", "language", "(Read Error)", "JSON with Comments", "Shell Script", "JavaScript", "TypeScript", "source.markdown.math", "JSON", "Prisma", "pgsql", "XML", "Properties", "TypeScript JSX", "YAML", "Docker", "PostCSS", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.github/prompts/write-coding-standards-from-file.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 322
"/workspaces/dev-x-academy-web/.github/scripts/fix-line-endings.sh", "Shell Script", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 10
"/workspaces/dev-x-academy-web/.markdownlint.json", "JSON", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/workspaces/dev-x-academy-web/.ncurc.json", "JSON", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/workspaces/dev-x-academy-web/.prettierrc", "JSON", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"/workspaces/dev-x-academy-web/README.md", "source.markdown.math", 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 327
"/workspaces/dev-x-academy-web/bun.lock", "JSON with Comments", 0, 935, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 875, 1810
"/workspaces/dev-x-academy-web/cache/config.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/workspaces/dev-x-academy-web/components.json", "JSON", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/workspaces/dev-x-academy-web/doc/api-endpoints.md", "source.markdown.math", 0, 0, 0, 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 693
"/workspaces/dev-x-academy-web/doc/api-implementation-guide.md", "source.markdown.math", 0, 0, 0, 0, 0, 588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 726
"/workspaces/dev-x-academy-web/doc/api_tests.md", "source.markdown.math", 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 516
"/workspaces/dev-x-academy-web/doc/api_tests_quick_ref.md", "source.markdown.math", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 359
"/workspaces/dev-x-academy-web/doc/authentication-and-user-profiles.md", "source.markdown.math", 0, 0, 0, 0, 0, 1097, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 270, 1367
"/workspaces/dev-x-academy-web/doc/authentication-guide.md", "source.markdown.math", 0, 0, 0, 0, 0, 594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 760
"/workspaces/dev-x-academy-web/doc/awesome-claude-code-resources.md", "source.markdown.math", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 267
"/workspaces/dev-x-academy-web/doc/claude-code-vs-copilot-instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 514
