"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Shell Script", "source.markdown.math", "JSON", "Properties", "Docker", "YAML", "Prisma", "XML", "TypeScript JSX", "PostCSS", "pgsql", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/src/components/layout/layout-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/workspaces/dev-x-academy-web/src/components/sections/courses.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 8, 9, 113
"/workspaces/dev-x-academy-web/src/components/sections/cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 2, 7, 72
"/workspaces/dev-x-academy-web/src/components/sections/hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 6, 7, 55
"/workspaces/dev-x-academy-web/src/components/sections/pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 2, 9, 119
"/workspaces/dev-x-academy-web/src/components/ui/__tests__/button.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"/workspaces/dev-x-academy-web/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"/workspaces/dev-x-academy-web/src/components/ui/language-selector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 3, 13, 106
"/workspaces/dev-x-academy-web/src/components/ui/profile-dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 8, 31, 261
"/workspaces/dev-x-academy-web/src/globals.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"/workspaces/dev-x-academy-web/src/lib/__tests__/api.test.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 79
"/workspaces/dev-x-academy-web/src/lib/__tests__/utils.test.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/workspaces/dev-x-academy-web/src/lib/admin-middleware.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/workspaces/dev-x-academy-web/src/lib/email-service.ts", "TypeScript", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 262
"/workspaces/dev-x-academy-web/src/lib/ip-utils.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 105
"/workspaces/dev-x-academy-web/src/lib/login-logger.ts", "TypeScript", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 303
"/workspaces/dev-x-academy-web/src/lib/prisma.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/workspaces/dev-x-academy-web/src/lib/tracer.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 91
"/workspaces/dev-x-academy-web/src/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/workspaces/dev-x-academy-web/tsconfig.json", "JSON with Comments", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/workspaces/dev-x-academy-web/vitest.config.mjs", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"/workspaces/dev-x-academy-web/vitest.setup.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 61
"Total", "-", 68, 3231, 1071, 135, 9062, 5734, 69, 76, 83, 204, 14, 3701, 42, 196, 671, 4824, 29181
