"filename", "language", "TypeScript", "JSON", "source.markdown.math", "JSON with Comments", "Shell Script", "TypeScript JSX", "Properties", "YAML", "Docker", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/src/app/(auth)/reset-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"/workspaces/dev-x-academy-web/src/app/(protected)/profile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 7, 11, 124
"/workspaces/dev-x-academy-web/src/app/api/auth/reset-password/route.ts", "TypeScript", -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33
"/workspaces/dev-x-academy-web/src/app/api/courses/route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspaces/dev-x-academy-web/src/app/api/enrollments/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/workspaces/dev-x-academy-web/src/app/api/metrics/route.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 45
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/lesson/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/module/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/workspaces/dev-x-academy-web/src/app/api/user/delete/route.ts", "TypeScript", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11
"/workspaces/dev-x-academy-web/src/app/api/user/email/request-change/route.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/workspaces/dev-x-academy-web/src/app/api/user/email/verify-change/route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/workspaces/dev-x-academy-web/src/app/api/user/profile/route.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/workspaces/dev-x-academy-web/src/app/api/user/sessions/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"/workspaces/dev-x-academy-web/src/app/providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"/workspaces/dev-x-academy-web/src/app/verify-email-change/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/workspaces/dev-x-academy-web/src/auth.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 151
"/workspaces/dev-x-academy-web/src/auth.types.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/workspaces/dev-x-academy-web/src/contexts/ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -8, 0, 0, 0, 2, -1, -7
"/workspaces/dev-x-academy-web/src/lib/http-server-metrics.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 86
"/workspaces/dev-x-academy-web/src/lib/metrics.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 48
"/workspaces/dev-x-academy-web/src/lib/prisma.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 59
"/workspaces/dev-x-academy-web/src/lib/session-tracker.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 26
"/workspaces/dev-x-academy-web/src/lib/user-agent-parser.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/workspaces/dev-x-academy-web/src/lib/with-metrics.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 67
"Total", "-", 681, -5469, 4079, 105, 28, 233, 12, 4, 1, 286, 1989, 1949
